idiom	alts
front_and_center	"[""front-and-center"", ""front and centre"", ""british"", ""front-and-centre""]"
full_speed_ahead	"[""full steam ahead""]"
full-fledged	"[""fully fledged""]"
full-stretch	[]
garden_variety	"[""garden-variety""]"
genetic_modification	[]
genie_is_out_of_the_bottle	[]
get_a_handle_on	[]
get_a_kick_out_of	[]
get_a_rise_out_of	[]
get_away_with_murder	[]
get_carried_away	[]
get_down_to_business	[]
get_in_on_the_act	[]
get_into_one's_stride	[]
get_into_trouble	[]
get_it_over_with	[]
get_off_one's_chest	[]
get_off_the_ground	[]
get_on_someone's_nerves	[]
get_on_the_end_of	[]
get_one's_act_together	[]
get_one's_feet_wet	[]
get_one's_fill	[]
get_one's_foot_in_the_door	[]
get_one's_hands_dirty	[]
get_one's_hands_on	[]
get_one's_head_around	[]
get_one's_hopes_up	[]
get_one's_money's_worth	"[""have one's money's worth""]"
get_one's_skates_on	[]
get_out_of_here	[]
get_out_of_jail_free_card	"[""get-out-of-jail-free card""]"
get_stuck_into	[]
get_the_ball_rolling	"[""start the ball rolling""]"
get_the_better_of	[]
get_the_hang_of	"[""have the hang of""]"
get_the_picture	[]
get_the_word_out	[]
get_to_grips_with	[]
get_to_the_bottom_of	[]
get_to_the_point	[]
get_under_someone's_skin	[]
get_with_the_program	"[""get with the programme""]"
get-rich-quick	[]
gift_of_the_gab	[]
gift_that_keeps_on_giving	[]
give_it_one's_best_shot	"[""take one's best shot""]"
give_one's_all	[]
give_someone_a_hand	"[""lend someone a hand""]"
give_someone_a_hard_time	[]
give_someone_pause	[]
give_something_a_whirl	[]
give_up_the_ghost	[]
glass-half-empty	"[""glass half empty""]"
glass-half-full	"[""glass half full""]"
glutton_for_punishment	[]
go_against_the_grain	[]
go_all_the_way	[]
go_along_for_the_ride	[]
go_along_to_get_along	[]
go_back_in_time	[]
go_back_to_the_drawing_board	[]
go_belly-up	[]
go_by_the_wayside	[]
go_down_in_flames	[]
go_down_that_road	"[""go down the road"", ""go down a road""]"
go_down_the_drain	[]
go_down_the_road	"[""go down that road"", ""go down a road""]"
go_for_the_gold	"[""go for gold"", ""go for the gold ring""]"
go_for_the_jugular	[]
go_from_strength_to_strength	[]
